image_path,glcm_hist_0,glcm_hist_1,glcm_hist_2,glcm_hist_3,glcm_hist_4,glcm_hist_5,glcm_hist_6,glcm_hist_7,glcm_hist_8,glcm_hist_9,glcm_hist_10,glcm_hist_11,glcm_hist_12,glcm_hist_13,glcm_hist_14,glcm_hist_15,glcm_hist_16,glcm_hist_17,glcm_hist_18,glcm_hist_19,glcm_hist_20,glcm_hist_21,glcm_hist_22,glcm_hist_23,glcm_hist_24,glcm_hist_25,glcm_hist_26,glcm_hist_27,glcm_hist_28,glcm_hist_29,glcm_hist_30,glcm_hist_31,glcm_hist_32,glcm_hist_33,glcm_hist_34,glcm_hist_35,glcm_hist_36,glcm_hist_37,glcm_hist_38,glcm_hist_39,glcm_hist_40,glcm_hist_41,glcm_hist_42,glcm_hist_43,glcm_hist_44,glcm_hist_45,glcm_hist_46,glcm_hist_47,glcm_hist_48,glcm_hist_49,glcm_hist_50,glcm_hist_51,glcm_hist_52,glcm_hist_53,glcm_hist_54,glcm_hist_55,glcm_hist_56,glcm_hist_57,glcm_hist_58,glcm_hist_59,glcm_hist_60,glcm_hist_61,glcm_hist_62,glcm_hist_63
Datasets/wang/Images/train/class3/319.jpg,62087,1758,645,308,213,125,75,58,30,30,23,17,15,17,10,7,3,13,8,8,10,15,6,3,4,2,3,2,5,3,2,2,1,1,1,5,2,0,3,1,3,3,0,1,0,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,1,0,0,2
Datasets/wang/Images/train/class3/330.jpg,65157,209,75,25,13,12,10,8,2,4,3,4,3,3,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Datasets/wang/Images/train/class3/360.jpg,62082,2142,670,281,125,82,47,32,11,14,5,2,4,8,5,5,2,2,5,2,3,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Datasets/wang/Images/train/class3/363.jpg,65184,221,64,30,9,2,1,2,2,1,2,2,0,1,0,0,2,0,2,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Datasets/wang/Images/train/class3/376.jpg,64279,761,189,99,61,32,23,22,14,5,5,0,8,8,5,2,2,2,2,1,1,0,1,0,0,0,1,1,0,0,1,3,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Datasets/wang/Images/train/class3/355.jpg,63023,1695,434,129,73,32,38,18,23,15,6,15,6,3,2,3,0,1,1,1,1,2,2,1,0,0,1,2,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Datasets/wang/Images/train/class3/346.jpg,65192,252,47,13,10,11,0,0,1,0,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Datasets/wang/Images/train/class3/335.jpg,65244,160,60,14,11,9,6,5,5,5,4,3,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Datasets/wang/Images/train/class3/320.jpg,64596,551,153,69,36,25,24,18,7,4,2,4,5,3,2,3,7,5,1,4,2,0,0,1,0,0,0,2,2,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,1
Datasets/wang/Images/train/class3/343.jpg,62226,2096,662,154,96,54,37,21,21,15,23,9,6,12,4,6,7,11,6,8,9,2,2,4,4,0,2,1,1,2,1,0,1,1,3,1,1,1,0,3,0,0,1,2,1,0,3,3,1,1,1,3,1,1,0,0,2,1,1,0,0,0,0,1
